Event Name,Time,Distinct ID,City,Country,Operating System
onboarding_step_view,1771064677.415,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_action,1771064677.372,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_action,1771064677.371,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
screen_view,1771064669.101,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
screen_view,1771064669.1,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_step_view,1771064669.1,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_step_complete,1771064669.1,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_action,1771064669.069,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_action,1771064669.068,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
screen_view,1771064658.682,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
screen_view,1771064658.681,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_step_view,1771064658.681,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_step_complete,1771064658.68,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_action,1771064658.65,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
screen_view,1771064653.277,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_step_view,1771064653.276,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_step_complete,1771064653.276,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
screen_view,1771064653.276,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_action,1771064653.231,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
screen_view,1771064649.24,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
screen_view,1771064649.239,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_step_view,1771064649.239,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_step_complete,1771064649.238,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_action,1771064649.213,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_action,1771064649.209,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
quiz_answer,1771064648.245,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
screen_view,1771064644.033,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_step_view,1771064644.033,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_step_complete,1771064644.032,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_action,1771064644.011,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
quiz_answer,1771064643.592,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
screen_view,1771064636.44,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_step_view,1771064636.44,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_step_complete,1771064636.439,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_action,1771064636.419,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_action,1771064636.416,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
quiz_answer,1771064635.287,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
screen_view,1771064631.143,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_step_view,1771064631.142,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_step_complete,1771064631.142,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_action,1771064631.114,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
screen_view,1771064624.431,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_action,1771064624.417,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
screen_view,1771064620.322,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
screen_view,1771064620.321,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_step_view,1771064620.32,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_step_complete,1771064620.32,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_action,1771064620.277,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
screen_view,1771064612.063,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_step_view,1771064612.063,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_action,1771064612.003,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
restore_completed,1771064606.237,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_start,1771064604.782,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
screen_view,1771058028.879,$device:36997AB6-0587-43D4-9924-58CF136686E7,Nitra,SK,iOS
paywall_impression,1771058028.879,$device:36997AB6-0587-43D4-9924-58CF136686E7,Nitra,SK,iOS
onboarding_action,1771058028.778,$device:36997AB6-0587-43D4-9924-58CF136686E7,Nitra,SK,iOS
restore_completed,1771058027.63,$device:36997AB6-0587-43D4-9924-58CF136686E7,Nitra,SK,iOS
screen_view,1771058026.604,$device:36997AB6-0587-43D4-9924-58CF136686E7,Nitra,SK,iOS
onboarding_step_view,1771058026.604,$device:36997AB6-0587-43D4-9924-58CF136686E7,Nitra,SK,iOS
onboarding_start,1771058026.473,$device:36997AB6-0587-43D4-9924-58CF136686E7,Nitra,SK,iOS
restore_completed,1771057328.593,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
screen_view,1771057328.457,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
onboarding_step_view,1771057328.457,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
onboarding_start,1771057328.44,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
onboarding_step_view,1771057318.643,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
screen_view,1771057318.643,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
onboarding_step_complete,1771057318.643,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
onboarding_action,1771057318.519,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
screen_view,1771057314.981,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
onboarding_step_view,1771057314.98,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
onboarding_step_complete,1771057314.98,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
onboarding_action,1771057314.936,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
screen_view,1771057312.069,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
onboarding_step_view,1771057312.069,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
onboarding_step_complete,1771057312.069,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
screen_view,1771057290.204,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
onboarding_step_complete,1771057290.204,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
onboarding_step_view,1771057290.204,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
onboarding_action,1771057290.079,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
screen_view,1771057286.232,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
onboarding_step_complete,1771057286.232,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
onboarding_step_view,1771057286.232,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
onboarding_action,1771057286.187,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
onboarding_step_complete,1771057284.927,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
screen_view,1771057284.927,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
onboarding_step_view,1771057284.927,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
screen_view,1771057253.992,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
onboarding_step_view,1771057253.992,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
onboarding_step_complete,1771057253.992,$device:21580168-35B1-4669-857C-A7438FAB4228,Boiling Springs,US,iOS
